merchant_name,mid,mcid,site_url,tracking_url
Wolferman's,wolfermans,wolfermans,https://www.wolfermans.com/,https://app.partnermatic.com/track/448fOfd8HLi9pY3B_aXIZe_bXWPqUGapCqp78_aUC1nUeOeZg09uT3A7XxSPNzid4uhTO5Ebcd3SEwEzcDNjvT_b78T2SeXwn8O7IbxX8vNpmg_c_c?url=https%3A%2F%2Fwww.wolfermans.com%2F
Products On The Go LLC,littletoes,littletoes,https://littletoes.com/,https://app.partnermatic.com/track/58d5VD1A_aVmqRhCH4xqqw7GSlPUXEhySYvbTuwXERTG8RfhbFTXbmvERU1or6HcQMIPtVrvFlc5CzLmIqwvIdo2JxSRSvlJFEvzVVJJvYQ_c_c?url=https%3A%2F%2Flittletoes.com%2F
ShirtSpace,shirtspace,shirtspace,https://www.shirtspace.com/,https://app.partnermatic.com/track/3f78TxsI6yVc42L_bH099yxA1JN8E_aRbjEIJR8qYlmbfYVc270td7X2ssx9pdg9uAK_bQj6lr04Rmvn0yBaLKTwETHgFfVj7m1ScPS_bWQe0A_c_c?url=https%3A%2F%2Fwww.shirtspace.com%2F
Bed Bath & Beyond,bedbathandbeyond,bedbathandbeyond,https://www.bedbathandbeyond.com/,https://app.partnermatic.com/track/c7beqQzTMHMlJ0F1enPs4oPeGrkPRlBt1e2WTIS5nYs3PHSji8kZ0dXPz57KSc8fSv23l0ODY1dbEjTq2yu0DONXvv08IImYR8PXNgNoXg_c_c?url=https%3A%2F%2Fwww.bedbathandbeyond.com%2F
American Heritage Textiles,donnasharp,donnasharp,https://www.donnasharp.com/,https://app.partnermatic.com/track/f5aabAzeZ_bASATNaCpOL7gmwLaJXRoGX3qsByGF5UqFwSaWd1nFhOZKu3COXW9_ar7JRVKQKNN_b7oQg1xsqYnH6LTRlKdp_aNzGRxVCuUEwQ_c_c?url=https%3A%2F%2Fwww.donnasharp.com%2F
Touch of Class,touchofclass,touchofclass,https://www.touchofclass.com/,https://app.partnermatic.com/track/a82bDeFYFP2RxVT7JJ00GQKy8cbuSfbtB8EADNTsy_atmJgcGpo49RdCl1wo7nb8KaN7DN_aT3TSuYlxSm6AWQghpB_bnYMbW9qIXeZfHK6cA_c_c?url=https%3A%2F%2Fwww.touchofclass.com%2F
FansEdge,fansedge,fansedge,https://www.fansedge.com/,https://app.partnermatic.com/track/ebe7EztDVrolsIkYkjWLbxIRmqimZ1_arWJHoD80KiU6xAWqTM1_b9LbdSo6t575kczRE_biinePvrM53cltxHKQfuPoNV_aSWIGEGf4jmxjEw_c_c?url=https%3A%2F%2Fwww.fansedge.com%2F
Thompson Cigar,thompsoncigar,thompsoncigar,https://www.thompsoncigar.com/,https://app.partnermatic.com/track/f01cVJ8MkMUSJ083uuZKjB0iGQHb5Wq1YOU9cT_asQyQckMNAf_bcbztMUD48jHhAvlzk6G29RlGTLcLO00FODJyJ5xsXMPuoL6_bHMoQlf_bA_c_c?url=https%3A%2F%2Fwww.thompsoncigar.com%2F
Sidify Inc.,sidify,sidify,https://www.sidify.com/,https://app.partnermatic.com/track/416d9y4W9JVo3b7pXjOtI96Bh1hBMTj_bgmlIoeT8QyC7MBGOl6AojkUDH2iIa8pG0qLG7cNv0BcOnJBAw5geWWfH1xP7W3t4uxA5pteZ1g_c_c?url=https%3A%2F%2Fwww.sidify.com%2F
LinkConnector,linkconnector,linkconnector,https://www.linkconnector.com,https://app.partnermatic.com/track/9c58_bOcwhU07_bqESK_a01E6qT9xLfN83ZZ9fvOm6Ij3t84gLXjpT67_bFVNT6hDo94udECPR8dzqg8hjW4cBEqwih6wLkRLqgSEsnGkNyisQ_c_c?url=https%3A%2F%2Fwww.linkconnector.com
GoldenTrainer Performance Studio Inc.,goldentrainer,goldentrainer,https://www.goldentrainer.com/,https://app.partnermatic.com/track/3fc8eHr52rhxytc9MIXKIr_bZm12MG_a6_bDVSJzjWFJZsDIhIOXWe_bF7m25SskZq8klhWt1HxQsXDapzaXv7HSLBoVS_bBQKSyihTQnZ5_a2Bw_c_c?url=https%3A%2F%2Fwww.goldentrainer.com%2F
IDS Blast,idsblast,idsblast,https://www.idsblast.com/,https://app.partnermatic.com/track/a97cHclg3R8pmSkDvwui_aILv5f2ekUDzrSQamHXL9bovDD0n4oc3dUDsv7cAWcQAknCQz1QYBb_b1GhU37vwSwho6tny2UW0_ahyPCrSr5Gw_c_c?url=https%3A%2F%2Fwww.idsblast.com%2F
BuyMBS.com,buymbs,buymbs,https://buymbs.com/,https://app.partnermatic.com/track/d544HkOMYtPhi_anFRPUkjFLNOt97WOZ0_aqLdeCxsepDL_bPZu0L8_atMDCYO8xEGjriGYyyawGJampneaTIvDMbmyTz5fCRAQKta_bi55SxnA_c_c?url=https%3A%2F%2Fbuymbs.com%2F
